Latitude (decimal degrees):	3.041
Longitude (decimal degrees):	31.053
Elevation (m):	899
Radiation database:	PVGIS-SARAH2


Slope: 5 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0006,0.0,0.0,0.0,23.52,1.17,0.0
20190101:0106,0.0,0.0,0.0,22.84,1.24,0.0
20190101:0206,0.0,0.0,0.0,21.93,1.31,0.0
20190101:0306,0.0,0.0,0.0,21.24,1.31,0.0
20190101:0406,0.0,0.0,0.0,20.79,1.38,0.0
20190101:0506,122.68,177.02,14.17,22.47,0.83,0.0
20190101:0606,308.64,408.66,27.61,26.15,0.9,0.0
20190101:0706,503.46,665.73,40.48,28.16,1.79,0.0
20190101:0806,639.96,858.17,52.11,30.1,2.76,0.0
20190101:0906,696.17,945.89,60.94,31.62,3.17,0.0
20190101:1006,707.42,968.68,63.89,32.9,3.31,0.0
20190101:1106,633.96,865.34,59.23,33.86,3.24,0.0
20190101:1206,492.16,664.66,49.51,34.34,3.17,0.0
20190101:1306,403.74,543.31,37.49,34.53,3.03,0.0
20190101:1406,146.88,208.13,24.44,34.09,2.76,0.0
20190101:1506,66.64,109.77,10.91,33.47,2.28,0.0
20190101:1606,0.0,0.0,0.0,32.4,1.45,0.0
20190101:1706,0.0,0.0,0.0,31.26,0.62,0.0
20190101:1806,0.0,0.0,0.0,30.82,0.34,0.0
20190101:1906,0.0,0.0,0.0,29.71,0.55,0.0
20190101:2006,0.0,0.0,0.0,28.52,0.97,0.0
20190101:2106,0.0,0.0,0.0,27.82,0.9,0.0
20190101:2206,0.0,0.0,0.0,27.57,0.76,0.0
20190101:2306,0.0,0.0,0.0,27.02,0.62,0.0
20190102:0006,0.0,0.0,0.0,26.54,0.62,0.0
20190102:0106,0.0,0.0,0.0,26.09,0.69,0.0
20190102:0206,0.0,0.0,0.0,25.31,0.97,0.0
20190102:0306,0.0,0.0,0.0,23.49,1.17,0.0
20190102:0406,0.0,0.0,0.0,21.21,1.66,0.0
20190102:0506,155.18,224.91,14.08,21.43,1.31,0.0
20190102:0606,363.55,483.81,27.54,26.19,0.62,0.0
20190102:0706,522.3,709.45,40.42,28.79,0.41,0.0
20190102:0806,630.18,876.79,52.09,30.87,0.83,0.0
20190102:0906,701.21,979.48,60.96,32.4,1.79,0.0
20190102:1006,653.34,905.24,63.98,33.35,2.28,0.0
20190102:1106,651.16,899.16,59.36,34.0,2.55,0.0
20190102:1206,545.96,744.04,49.65,34.47,2.62,0.0
20190102:1306,420.06,566.89,37.62,34.49,2.62,0.0
20190102:1406,291.44,400.43,24.56,34.06,2.55,0.0
20190102:1506,98.08,163.23,11.03,33.56,2.41,0.0
20190102:1606,0.0,0.0,0.0,32.37,1.45,0.0
20190102:1706,0.0,0.0,0.0,31.05,1.24,0.0
20190102:1806,0.0,0.0,0.0,29.58,1.38,0.0
20190102:1906,0.0,0.0,0.0,28.52,2.07,0.0
20190102:2006,0.0,0.0,0.0,26.97,2.07,0.0
20190102:2106,0.0,0.0,0.0,25.09,1.72,0.0
20190102:2206,0.0,0.0,0.0,23.88,1.66,0.0
20190102:2306,0.0,0.0,0.0,22.85,1.79,0.0
20190103:0006,0.0,0.0,0.0,22.0,1.72,0.0
20190103:0106,0.0,0.0,0.0,21.46,1.66,0.0
20190103:0206,0.0,0.0,0.0,20.95,1.66,0.0
20190103:0306,0.0,0.0,0.0,20.62,1.59,0.0
20190103:0406,0.0,0.0,0.0,20.21,1.66,0.0
20190103:0506,143.78,208.49,13.99,21.71,1.17,0.0
20190103:0606,339.13,452.51,27.47,26.8,0.55,0.0
20190103:0706,517.75,695.08,40.37,29.68,1.31,0.0
20190103:0806,635.51,870.32,52.07,31.69,1.86,0.0
20190103:0906,709.37,977.44,61.0,33.13,2.83,0.0
20190103:1006,719.43,991.41,64.08,33.38,3.1,0.0
20190103:1106,671.15,921.05,59.49,33.64,2.97,0.0
20190103:1206,596.61,807.17,49.78,33.57,3.1,0.0
20190103:1306,437.37,583.76,37.75,33.4,3.31,0.0
20190103:1406,260.0,353.95,24.69,32.78,3.31,0.0
20190103:1506,95.16,155.88,11.14,32.23,3.1,0.0
20190103:1606,0.0,0.0,0.0,31.16,2.34,0.0
20190103:1706,0.0,0.0,0.0,30.11,2.14,0.0
20190103:1806,0.0,0.0,0.0,29.16,2.14,0.0
20190103:1906,0.0,0.0,0.0,28.22,2.07,0.0
20190103:2006,0.0,0.0,0.0,27.4,1.86,0.0
20190103:2106,0.0,0.0,0.0,26.93,1.79,0.0
20190103:2206,0.0,0.0,0.0,25.98,1.72,0.0
20190103:2306,0.0,0.0,0.0,24.86,1.66,0.0
20190104:0006,0.0,0.0,0.0,24.04,1.38,0.0
20190104:0106,0.0,0.0,0.0,23.95,1.17,0.0
20190104:0206,0.0,0.0,0.0,25.09,0.83,0.0
20190104:0306,0.0,0.0,0.0,25.65,0.21,0.0
20190104:0406,0.0,0.0,0.0,23.14,1.1,0.0
20190104:0506,45.32,73.06,13.91,23.56,1.24,0.0
20190104:0606,126.22,175.11,27.4,26.02,2.07,0.0
20190104:0706,497.54,645.21,40.33,25.68,2.28,0.0
20190104:0806,174.59,235.61,52.06,26.19,1.79,0.0
20190104:0906,542.32,726.8,61.04,27.91,1.59,0.0
20190104:1006,618.35,840.24,64.19,28.9,1.66,0.0
20190104:1106,663.57,912.65,59.63,30.25,1.59,0.0
20190104:1206,242.58,329.16,49.92,31.46,1.79,0.0
20190104:1306,36.84,63.89,37.88,31.53,2.21,0.0
20190104:1406,241.26,328.41,24.81,31.52,2.34,0.0
20190104:1506,101.03,165.27,11.26,30.74,2.34,0.0
20190104:1606,0.0,0.0,0.0,29.74,2.69,0.0
20190104:1706,0.0,0.0,0.0,28.46,2.76,0.0
20190104:1806,0.0,0.0,0.0,27.31,2.14,0.0
20190104:1906,0.0,0.0,0.0,27.41,0.9,0.0
20190104:2006,0.0,0.0,0.0,26.38,1.1,0.0
20190104:2106,0.0,0.0,0.0,25.38,1.38,0.0
20190104:2206,0.0,0.0,0.0,24.39,1.31,0.0
20190104:2306,0.0,0.0,0.0,24.12,1.1,0.0
